matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
151,T1,home,50,win,113,407,19,4,12,167,15,7,32,976,3,4,0,10,118,15,9,1,0,2,0,2,0,0,19,6,57,4,0,4,18,0,3,7,-31,-2,-4,-5,-2,-16,-4,-2,-2,0,0,0,0,0,-1
152,T3,away,24,loss,77,222,4,0,5,85,15,8,18,713,5,3,6,12,116,15,10,1,0,3,0,4,0,1,-11,-44,-204,-11,-7,-19,-70,4,3,-4,44,-1,-1,4,1,19,11,-3,-1,-1,0,0,0,0,0
153,T1,away,7,loss,87,270,13,2,5,129,13,6,20,1109,4,3,4,13,175,12,14,5,1,3,2,4,0,1,-22,-68,-292,1,-1,-8,-28,-2,3,-4,64,-1,-2,4,-4,64,-1,1,2,0,0,1,3,0,1
154,T8,away,12,win,95,270,10,1,7,89,11,6,28,1199,9,8,10,9,140,10,7,1,0,0,1,0,0,0,12,-26,50,0,1,2,-72,-4,-3,-5,135,1,2,5,0,14,0,-9,-4,0,-1,0,-3,0,-1
155,T5,away,20,loss,129,311,19,3,4,161,14,5,19,915,5,6,2,14,74,12,11,1,0,1,0,4,0,0,-14,52,53,7,-1,-3,63,3,-4,0,-83,0,4,1,4,-109,-7,-3,0,0,-4,0,1,0,0
156,T15,home,23,loss,115,354,6,2,6,131,10,6,30,1167,4,4,3,15,114,11,10,1,3,2,0,0,0,0,-6,13,-13,-5,0,-1,13,-1,3,2,-23,-5,-6,1,4,-52,5,-5,0,3,-2,0,-2,-1,-1
157,T10,home,36,win,127,541,12,7,11,135,14,14,17,644,6,7,4,10,129,22,17,1,0,7,1,8,0,1,25,28,241,-10,5,5,14,-2,4,-3,-175,3,-2,1,-6,-2,10,5,-1,0,4,1,7,0,0
158,T16,home,37,win,102,307,10,2,9,150,9,6,21,948,2,3,2,13,111,8,13,3,1,1,3,1,0,0,17,4,59,2,1,0,16,-2,2,5,305,-4,-3,1,-3,0,-2,1,2,0,-4,3,-1,0,-1
159,T15,home,27,loss,123,363,5,7,7,136,18,8,24,1171,3,6,4,15,149,25,8,0,1,2,1,3,0,3,-11,-6,-41,-20,-2,1,-23,11,3,-6,26,-7,-1,4,7,-1,20,-8,-1,-1,-1,1,1,0,2
160,T8,away,13,loss,97,187,9,0,1,118,9,7,23,654,5,8,3,17,224,14,9,0,0,4,0,3,0,1,-5,-51,-117,-5,-1,-6,-22,-6,0,-5,-158,1,5,3,8,103,5,-3,-3,0,1,-2,-2,-1,1
